"";"*partido_AVANTE";"*partido_MDB";"*partido_NOVO";"*partido_PCdoB";"*partido_PDT";"*partido_PL";"*partido_PODE";"*partido_PP";"*partido_PRD";"*partido_PSB";"*partido_PSD";"*partido_PSDB";"*partido_PSOL";"*partido_PT";"*partido_REDE";"*partido_REPUBLICANOS";"*partido_SOLIDARIEDADE";"*partido_UNIÃO"
"direito";0;0;1;0;1;7;0;2;0;0;2;0;2;11;0;0;0;1
"real";0;0;0;0;0;1;0;0;0;4;1;0;0;12;0;0;0;2
"saúde";0;1;0;0;3;0;0;0;0;4;0;0;0;9;0;0;0;1
"apenas";0;2;0;1;0;1;0;2;0;2;1;0;1;2;0;1;0;0
"tanto";0;0;0;0;0;0;0;1;0;2;1;1;1;5;0;0;0;2
"apresentar";6;5;0;1;2;1;0;0;0;1;1;0;0;1;0;0;0;0
"ocorrer";0;1;0;0;0;2;0;1;0;0;1;0;1;6;0;0;0;3
"tomar";0;0;0;1;1;0;0;2;0;0;1;0;1;4;0;0;0;1
"marielle";0;0;0;2;0;4;0;1;0;0;1;0;12;11;0;0;0;0
"entidade";0;2;0;0;0;0;0;0;0;0;0;0;0;24;0;0;0;0
"trabalho";0;2;0;1;8;2;1;7;0;2;6;5;0;6;0;2;0;0
"economia";0;2;0;0;0;3;0;0;0;0;2;0;0;1;0;0;0;2
"permitir";0;0;0;0;4;0;1;2;0;0;0;0;2;0;0;0;0;1
"aquele";0;0;0;0;1;2;0;1;0;0;1;0;1;11;0;0;0;1
"aquela";0;0;0;0;1;2;1;0;0;0;2;1;0;3;0;0;0;1
"exemplo";0;0;0;0;1;4;0;0;0;0;2;1;0;6;0;0;0;0
"br";0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;10
"agradecer";0;0;0;0;2;1;0;1;1;0;0;1;0;4;0;1;0;1
"poder";2;2;6;1;9;13;1;13;0;8;11;1;9;17;0;0;0;16
"votar";0;2;3;2;2;17;0;13;0;1;1;2;3;8;0;0;1;4
"infelizmente";0;3;0;4;0;1;0;4;0;1;1;0;0;3;0;0;0;1
"governo";0;4;0;2;4;3;0;0;0;2;1;0;0;29;0;6;0;9
"lembrar";0;0;0;0;3;1;0;0;1;0;6;0;0;4;0;0;0;0
"cadeia";0;1;0;0;0;2;1;0;0;0;3;0;0;0;0;0;0;3
"imprensa";0;0;5;0;0;0;0;0;0;0;1;0;1;3;0;0;0;0
"assassinato";0;0;0;0;0;2;0;1;0;0;1;0;2;6;0;0;0;0
"conselho";0;0;0;0;0;4;0;1;1;5;1;0;0;6;0;1;0;2
"representar";0;2;0;0;11;1;0;6;0;1;7;0;0;0;0;0;0;0
"relação";0;0;0;0;0;0;0;0;0;0;1;0;0;8;0;4;0;2
"manter";0;0;0;1;0;3;1;1;0;0;1;0;2;5;0;0;0;2
"nenhum";0;1;0;0;0;6;0;0;0;1;1;0;0;5;0;0;0;4
"responsabilidade";0;0;0;0;2;0;0;1;0;0;0;0;2;0;0;0;0;5
