"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"soltar";-0,0511;-0,2382;-0,0997;-0,1257;-0,4541;2,9279;-0,0635;-0,388;-0,0357;-0,1978;-0,7672;-0,0624;0,3178;0,65;-0,001;-0,0862;-0,0025;-0,3534
"educação";-0,0604;-0,2815;-0,1178;-0,1486;2,3778;-0,7805;-0,075;-0,4586;-0,0422;-0,2337;2,1505;-0,0738;-0,3368;-0,3891;-0,0012;-0,1019;-0,003;-0,4177
"contar";-0,0883;-0,4116;-0,1722;-0,2172;0,6114;-0,261;-0,1097;0,7428;-0,0617;0,2638;-0,3472;-0,1079;0,5203;-0,4603;-0,0018;0,5371;-0,0044;0,4014
"federal";-0,0837;0,2273;-0,1632;0,4232;1,7198;-0,2334;-0,1039;-0,2329;-0,0585;-0,3237;-0,3117;-0,1022;-0,4664;0,4127;-0,0017;-0,1411;-0,0042;-0,2012
"certeza";-0,0511;0,3745;-0,0997;0,5998;0,1881;0,7947;-0,0635;-0,388;-0,0357;-0,1978;-0,7672;0,8732;-0,2849;-0,6012;-0,001;-0,0862;-0,0025;1,4131
"população";0,4948;1,5397;-0,3266;4,4957;-0,8252;-0,5234;-0,208;0,2673;-0,1171;0,3647;-1,6514;-0,2046;-0,9337;-0,3856;-0,0033;1,585;-0,0083;0,3202
"estar";-0,1442;0,3478;0,8741;0,2533;-0,3394;0,4309;-0,179;1,0487;-0,1008;-0,5579;0,3052;-0,1761;-0,3399;-0,3694;-0,0029;-0,2432;-0,0072;-0,2089
"achar";-0,0511;1,0131;1,6858;-0,1257;1,1515;-0,2401;-0,0635;-0,388;-0,0357;-0,1978;-0,7672;-0,0624;-0,2849;0,3283;-0,001;-0,0862;-0,0025;-0,3534
"aqui";-0,0651;-0,3032;-0,1269;0,5112;-0,578;-0,8406;-0,0808;-0,1543;-0,0455;0,3567;1,9649;-0,0795;0,7154;-0,8538;-0,0013;0,6512;-0,0032;0,1904
"solicitar";-0,0511;-0,2382;-0,0997;0,5998;-0,4541;0,3719;-0,0635;0,2286;-0,0357;-0,1978;0,2999;-0,0624;0,3178;0,65;-0,001;-0,0862;-0,0025;-0,3534
