"";"X.partido_AVANTE";"X.partido_MDB";"X.partido_NOVO";"X.partido_PCdoB";"X.partido_PDT";"X.partido_PL";"X.partido_PODE";"X.partido_PP";"X.partido_PRD";"X.partido_PSB";"X.partido_PSD";"X.partido_PSDB";"X.partido_PSOL";"X.partido_PT";"X.partido_REDE";"X.partido_REPUBLICANOS";"X.partido_SOLIDARIEDADE";"X.partido_UNIÃO"
"grande";10;2,19;0;4,1;11,74;5,77;16,13;2,73;28,57;0;7,17;0;0;7,52;0;5,95;0;4,48
"fundamental";0;0;0;0;2,35;0;0;1,36;0;0;1,43;0;1,84;1,41;0;0;0;1,49
"mato_grosso";0;0;0;0;0;3,3;0;0;0;0;4,3;0;0;0;0;5,95;0;1,49
"papel";0;0;10,31;0;0;1,65;0;1,36;14,29;0;0;0;1,84;0,47;0;0;0;4,48
"presidência";0;0;0;0;4,69;0;0;5,46;0;2,62;0,72;0;0;0;0;0;0;0
"supremo_tribunal_federal";0;0;10,31;8,2;0;0,82;0;6,82;0;0;1,43;0;3,68;0,47;0;0;0;5,97
"bilhão";0;0;0;0;0;1,65;0;0;0;2,62;1,43;0;0;7,52;0;0;0;4,48
"ficar";0;4,38;10,31;0;8,22;6,6;0;1,36;0;0;2,15;0;0;4,23;0;0;0;1,49
"todo";30;15,32;25,77;24,59;10,56;18,14;24,19;15,01;28,57;21;17,93;32,79;9,19;22,56;0;47,62;0;20,9
"prefeito";0;15,32;0;4,1;4,69;4,95;8,06;2,73;0;7,87;1,43;0;0;0;0;0;0;2,99
"querer";20;13,13;15,46;4,1;21,13;14,84;8,06;21,83;28,57;15,75;15,06;16,39;1,84;19,27;0;41,67;0;8,96
"obra";0;0;0;4,1;0;0,82;0;0;0;0;0;0;0;0,94;0;0;0;8,96
"aprovar";0;0;0;0;3,52;0,82;0;4,09;0;5,25;1,43;0;9,19;1,88;0;0;0;0
"divulgar";0;0;0;4,1;1,17;1,65;8,06;1,36;0;0;9,33;8,2;1,84;4,7;0;5,95;0;1,49
"cada";0;4,38;0;0;1,17;1,65;24,19;1,36;0;0;0,72;0;3,68;0,94;0;5,95;200;0
"nome";0;2,19;5,15;0;0;1,65;0;0;0;2,62;1,43;0;3,68;2,82;0;0;0;0
"contra";0;0;0;8,2;1,17;4,95;0;0;14,29;2,62;0,72;0;9,19;1,88;0;5,95;0;5,97
"importância";0;2,19;0;0;4,69;0;0;0;0;0;2,15;0;0;0,94;0;0;0;1,49
"país";30;8,75;0;0;7,04;2,47;8,06;2,73;0;7,87;2,87;24,59;3,68;6,11;0;11,9;0;14,93
"parlamentar";30;15,32;10,31;12,3;3,52;17,31;8,06;6,82;0;0;10,76;0;7,35;1,88;0;0;0;5,97
"organizado";0;0;0;0;0;1,65;0;0;0;5,25;0,72;0;0;1,88;0;0;0;7,46
