document,Bormuth.GP
text512,8920381.597421883
text513,13972552.676070938
text514,22975019.033244845
text515,33991322.92928412
text516,31705316.962364815
text517,3004099.2567023626
text518,-468808.32010939263
text519,28202273.68063724
text520,150955671.60176885
text521,249778201.0847034
text522,-516050.7918625903
text523,5672457.394009552
text524,97908313.28185883
text525,1599426.9717394842
text526,3032546.4999518436
text527,-516050.7918625903
text528,23586.298625833646
text529,12064159.109329928
text530,73624441.95587611
text531,7322056.96296008
text532,14980556.215181256
text533,137803563.4082955
text534,52191438.87907754
text535,143210623.78069192
text536,44415828.220809825
text537,34860436.98703112
text538,34643358.418279186
text539,134552013.11100975
text540,-505373.2717565081
text541,-61299.55980700947
text542,43646243.98049225
text543,1460461.1147124437
text544,50442465.39962303
text545,133942675.521562
text546,120143123.26028766
text547,66531021.02735447
text548,122775010.69932508
text549,519828929.6875517
text550,-505131.4649705412
text551,2937567.2145983293
text552,23586.298625833646
text553,21521853.219671883
text554,9388655.431082692
text555,-470320.14505032555
text556,-523910.25876995275
text557,-389433.0481311962
text558,6455174.409083675
text559,188345978.20619622
text560,71226509.09805723
text561,328582415.75231874
text562,17275724.546510514
text563,407869472.8539112
text564,23141474.8591959
text565,-507308.3708883608
text566,23586.298625833646
text567,61276724.074319616
text568,14976963.55522051
text569,40989664.98990493
text570,5411440.193466752
text571,-511737.8735778116
text572,36335421.67709159
text573,-470320.14505032555
text574,-507308.3708883608
text575,160162722.24097908
text576,167589550.1012529
text577,126368481.63504145
text578,216704303.86118656
text579,273212429.91140985
text580,19277971.954696972
text581,105818210.68799755
text582,131258252.52554679
text583,-515430.8404945053
text584,-100115.21061924845
text585,302151490.38913417
text586,72198572.53532572
text587,-136608.2668171787
text588,414654008.64676476
text589,453889806.33584934
text590,78951311.85259391
text591,104829558.41071069
text592,146293006.65900844
text593,-468808.32010939263
text594,2163836.636276293
text595,62866567.02858233
text596,383973.95736897597
text597,-498710.9827375651
text598,8659078.357842756
text599,81707289.49718568
text600,95856031.18340494
text601,-507308.3708883608
text602,23586.298625833646
text603,6200074.903963993
text604,28274655.374985237
text605,567446537.0018673
text606,-506648.6611416267
text607,-507308.3708883608
text608,23005133.815112684
text609,4272065.996195649
text610,135992109.21357685
text611,7264172377.076191
text612,630153724.905708
text613,350203941.2841508
text614,138742885.54915693
text615,3677830543.507396
text616,-515430.8404945053
text617,7893849.149798182
text618,96226899.36817114
text619,552354.9911510071
text620,10482752.18093903
text621,171645903.3941966
text622,3146866.1638326133
text623,10111183.077930592
text624,64609567.54549989
text625,26403266.855211634
text626,35217846.75694803
text627,113775613.1367765
text628,1103012782.4804366
text629,17969253.443841487
text630,-507868.34351922834
text631,619583.7791332339
text632,30959014.549586914
text633,3249512.51751542
text634,2132209.935135738
text635,54030676.38703208
text636,441066439.77097946
text637,68218715.85271364
text638,45258963.18085713
text639,-100115.21061924845
text640,144724821.3814678
text641,105036830.03444235
text642,-507308.3708883608
text643,673334.7506144573
text644,-180058.63487732533
text645,32848627.60109547
text646,2189725774.7184663
text647,221364166.38710898
text648,77409446.44478114
text649,290472735.01204085
