"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Coord. facteur 4";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"Corr. facteur 4";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"COR -facteur 4";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"CTR -facteur 4";"mass";"chi.distance";"inertie"
"minha_casa_minha_vida";0,286476183882509;-1,83509349963564;-2,50280695096916;2,02857814234135;0,0770364282714991;-0,493475746710427;-0,673030845156819;0,54550578144989;0,00956552113983538;0,312312489890313;0,443196564814646;0,234925424155208;0,000192355804363964;0,00789304617931552;0,0146819234356488;0,00964521101508286;0,00234384155631079;2,20011822219842;0,0113454123793497
"marielle";0,323893638832232;2,08574399967819;-0,397568714534255;0,5799668588461;0,145584400315456;0,937504640410654;-0,178700029733021;0,260684734817168;0,0274116723735482;0,904469798480347;0,0250706266087722;0,0430479025373363;0,000331945553785489;0,0137652474943428;0,000500134048396031;0,00106431056471521;0,00316418610101957;1,46942175572114;0,00683211156651097
"maior";0,312876333013854;-0,671338858883847;-0,538836699903874;-0,211655982564335;0,332822547153383;-0,71413745764808;-0,573188138694369;-0,225149286808455;0,14952272638728;0,547755469048736;0,269206912533563;0,0335148920304257;0,000309747239367784;0,00142608558690749;0,000918705579211184;0,000141750015679409;0,00316418610101957;0,60775833325455;0,00116875602651933
"estar";0,318687567032544;0,154174590346073;0,649525615202528;0,0881734826053754;0,427782166567467;0,206952348037976;0,871874223082039;0,118357436325323;0,267001563581536;0,0497222231737421;0,673265281542306;0,0100109317024154;0,000333262560725586;7,79977171726971e-05;0,00138435939230262;2,5511281492241e-05;0,00328137817883511;0,463254910402763;0,000704200531623533
"acontecer";0,322777495027974;0,325354821011762;-0,347905165471443;-0,773148496794187;0,33491402602045;0,337588260237191;-0,360986504437844;-0,802219113047393;0,187834166670934;0,151853204251969;0,132464633759823;0,527847995317273;0,000329661713934889;0,000334947323098685;0,000382986770463638;0,00189141944785749;0,00316418610101957;0,55940682897367;0,000990187742665437
"continuar";0,11849345819242;0,471108376407266;-0,357119116914168;-0,593979110709458;0,140003242001191;0,556627353417507;-0,421945944622488;-0,701802466135032;0,0318484346135535;0,400573636940346;0,175604495948479;0,391973432497623;4,77183041600332e-05;0,00075428922621723;0,000433433475483546;0,00119905359601743;0,00339857025665065;0,4987261517266;0,00084531881613321
"voto";0,323161970715755;1,4861089419824;0,0121047982610729;0,325391213240183;0,207780200792677;0,955508513829721;0,00778290034458548;0,209213514428918;0,054572484635133;0,918281627164797;4,64791774556425e-05;0,0270994090226178;0,000293731140701439;0,00621170454688397;4,12120869868811e-07;0,000297797562368926;0,00281260986757295;1,03907093619936;0,00303668602495033
"representar";0,0863925739270485;-0,080703188894062;2,01309976961894;1,15078903330101;0,0372089380453854;-0,0347585425358419;0,867034065568902;0,495640260464563;0,00239119126531104;0,00166029113626943;0,788137837255871;0,207810680342553;2,27417786913458e-05;1,98450863869022e-05;0,0123481586480061;0,00403518110609551;0,00304699402320403;1,3270310009375;0,00536579083718255
"prefeito";0,300687929999693;-1,20593366853728;0,22338616863062;1,47409078789494;0,154912830514208;-0,621290645107319;0,11508737208151;0,759443774108116;0,0386026746205589;0,494053084827401;0,0129332613883881;0,454410979163653;0,000254297146365874;0,00409031106409036;0,000140353114737048;0,00611164275436084;0,00281260986757295;1,14952682508034;0,00371661620976244
"dever";0,320804474307675;1,28722849656351;-0,331357754118343;0,376858429285822;0,226182796769528;0,907558855164022;-0,233623373612541;0,265703568212358;0,0660754803948953;0,846471140156119;0,0427921258509403;0,044661253598049;0,000289461181021887;0,00466037417751828;0,00030881882915088;0,000399453254115862;0,00281260986757295;0,937415359792987;0,00247157404929328
