"";"X";"V1";"V2";"V3";"V4";"V5";"V6";"V7";"V8";"V9"
"355";355;0;0;0;0;0;0;0;2;2
"356";356;0;0;0;0;0;0;0;2;2
"357";357;0;0;0;0;0;0;0;2;2
"358";358;0;0;0;0;0;0;0;0;0
"359";359;0;0;0;0;0;0;0;0;0
"360";360;5;5;5;5;5;5;5;5;5
"361";361;0;0;0;0;0;0;0;3;3
"362";362;0;0;0;0;0;0;0;3;3
"363";363;0;0;0;0;0;0;0;2;2
"364";364;0;0;0;0;0;0;0;3;3
"365";365;0;0;0;0;0;0;0;3;3
"366";366;0;0;0;0;0;0;0;3;3
"367";367;0;0;0;0;0;0;0;3;3
"368";368;0;0;0;0;0;0;0;3;3
"369";369;0;0;0;0;0;0;0;3;3
"370";370;0;0;0;0;0;0;0;3;3
"371";371;0;0;0;0;0;0;0;0;0
"372";372;5;5;5;5;5;5;5;5;5
"373";373;0;0;0;0;0;0;0;3;3
"374";374;5;5;5;5;5;5;5;5;5
"375";375;5;5;5;5;5;5;5;5;5
"376";376;0;0;0;0;0;0;0;0;1
"377";377;0;0;0;0;0;0;0;0;1
"378";378;0;0;0;0;0;0;0;0;1
"379";379;0;0;0;0;0;0;0;0;1
"380";380;0;0;0;0;0;0;0;0;1
"381";381;0;0;0;0;0;0;0;0;1
"382";382;0;0;0;0;0;0;0;0;1
"383";383;0;0;0;0;0;0;0;0;1
"384";384;0;0;0;0;0;0;0;0;1
"385";385;5;5;5;5;5;5;5;5;5
"386";386;5;5;5;5;5;5;5;5;5
"387";387;0;0;0;0;0;0;4;4;4
"388";388;0;0;0;0;0;0;0;3;3
"389";389;0;0;0;0;0;0;0;3;3
"390";390;0;0;0;0;0;0;0;3;3
"391";391;0;0;0;0;0;0;0;2;2
"392";392;0;0;0;0;0;0;0;3;3
"393";393;0;0;0;0;0;0;0;0;1
"394";394;0;0;0;0;0;0;0;0;1
"395";395;0;0;0;0;0;0;0;0;1
"396";396;0;0;0;0;0;0;0;0;1
"397";397;0;0;0;0;0;0;0;0;1
"398";398;0;0;0;0;0;0;0;2;2
"399";399;0;0;0;0;0;0;0;2;2
"400";400;5;5;5;5;5;5;5;5;5
"401";401;0;0;0;0;0;0;0;0;0
"402";402;0;0;0;0;0;0;4;4;4
"403";403;0;0;0;0;0;0;4;4;4
"404";404;0;0;0;0;0;0;4;4;4
"405";405;0;0;0;0;0;0;4;4;4
"406";406;0;0;0;0;0;0;4;4;4
"407";407;0;0;0;0;0;0;0;2;2
"408";408;5;5;5;5;5;5;5;5;5
"409";409;0;0;0;0;0;0;0;0;1
"410";410;0;0;0;0;0;0;0;0;1
"411";411;0;0;0;0;0;0;0;0;1
"412";412;0;0;0;0;0;0;0;0;1
"413";413;0;0;0;0;0;0;0;0;1
"414";414;0;0;0;0;0;0;0;0;1
"415";415;0;0;0;0;0;0;0;0;1
"416";416;0;0;0;0;0;0;0;0;1
"417";417;0;0;0;0;0;0;0;2;2
"418";418;5;5;5;5;5;5;5;5;5
"419";419;5;5;5;5;5;5;5;5;5
"420";420;0;0;0;0;0;0;0;3;3
"421";421;0;0;0;0;0;0;0;0;1
"422";422;0;0;0;0;0;0;0;2;2
"423";423;0;0;0;0;0;0;0;3;3
